,point_count,repeat,complex_size,0-cells,1-cells,2-cells,reducible_cells,reducible_2-cells,reducible_fraction,reducible_2-cell_fraction,2-cell_fraction
0,10,0,47,10,23,14,26,13,0.5531914893617021,0.9285714285714286,0.2978723404255319
1,20,0,95,20,47,28,36,18,0.37894736842105264,0.6428571428571429,0.29473684210526313
2,50,0,271,50,135,86,100,50,0.36900369003690037,0.5813953488372093,0.3173431734317343
3,100,0,569,100,284,185,212,106,0.37258347978910367,0.572972972972973,0.3251318101933216
4,200,0,1175,200,587,388,444,222,0.3778723404255319,0.5721649484536082,0.3302127659574468
5,500,0,2963,500,1481,982,1074,537,0.362470469119136,0.5468431771894093,0.3314208572392845
6,1000,0,5955,1000,2977,1978,2166,1083,0.36372795969773297,0.5475227502527806,0.33215785054575986
7,2000,0,11947,2000,5973,3974,4132,2066,0.34586088557796935,0.5198792148968294,0.3326358081526743
8,10,1,43,10,21,12,16,8,0.37209302325581395,0.6666666666666666,0.27906976744186046
9,20,1,97,20,48,29,38,19,0.3917525773195876,0.6551724137931034,0.29896907216494845
10,50,1,277,50,138,89,104,52,0.37545126353790614,0.5842696629213483,0.3212996389891697
11,100,1,571,100,285,186,214,107,0.37478108581436076,0.5752688172043011,0.3257443082311734
12,200,1,1175,200,587,388,422,211,0.35914893617021276,0.5438144329896907,0.3302127659574468
13,500,1,2961,500,1480,981,1068,534,0.3606889564336373,0.5443425076452599,0.331306990881459
14,1000,1,5959,1000,2979,1980,2146,1073,0.36012753817754656,0.5419191919191919,0.3322705151871119
15,2000,1,11959,2000,5979,3980,4190,2095,0.35036374278785853,0.5263819095477387,0.33280374613261976
16,10,2,41,10,20,11,14,7,0.34146341463414637,0.6363636363636364,0.2682926829268293
17,20,2,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
18,50,2,273,50,136,87,98,49,0.358974358974359,0.5632183908045977,0.31868131868131866
19,100,2,573,100,286,187,202,101,0.3525305410122164,0.5401069518716578,0.3263525305410122
20,200,2,1173,200,586,387,436,218,0.37169650468883203,0.5633074935400517,0.329923273657289
21,500,2,2969,500,1484,985,1044,522,0.3516335466487033,0.5299492385786801,0.33176153587066354
22,1000,2,5965,1000,2982,1983,2148,1074,0.3601005867560771,0.5416036308623298,0.3324392288348701
23,2000,2,11961,2000,5980,3981,4204,2102,0.35147562912799934,0.5280080381813614,0.3328317030348633
24,10,3,45,10,22,13,16,8,0.35555555555555557,0.6153846153846154,0.28888888888888886
25,20,3,97,20,48,29,34,17,0.35051546391752575,0.5862068965517241,0.29896907216494845
26,50,3,277,50,138,89,104,52,0.37545126353790614,0.5842696629213483,0.3212996389891697
27,100,3,575,100,287,188,226,113,0.39304347826086955,0.601063829787234,0.3269565217391304
28,200,3,1171,200,585,386,422,211,0.36037574722459437,0.5466321243523317,0.3296327924850555
29,500,3,2967,500,1483,984,1048,524,0.35321873946747556,0.532520325203252,0.3316481294236603
30,1000,3,5965,1000,2982,1983,2146,1073,0.3597652975691534,0.5410993444276349,0.3324392288348701
31,2000,3,11961,2000,5980,3981,4188,2094,0.3501379483320793,0.5259984928409948,0.3328317030348633
32,10,4,41,10,20,11,12,6,0.2926829268292683,0.5454545454545454,0.2682926829268293
33,20,4,99,20,49,30,34,17,0.3434343434343434,0.5666666666666667,0.30303030303030304
34,50,4,267,50,133,84,102,51,0.38202247191011235,0.6071428571428571,0.3146067415730337
35,100,4,571,100,285,186,228,114,0.39929947460595444,0.6129032258064516,0.3257443082311734
36,200,4,1165,200,582,383,416,208,0.35708154506437767,0.5430809399477807,0.32875536480686696
37,500,4,2963,500,1481,982,1052,526,0.3550455619304759,0.5356415478615071,0.3314208572392845
38,1000,4,5953,1000,2976,1977,2034,1017,0.34167646564757265,0.5144157814871017,0.3321014614480094
39,2000,4,11957,2000,5978,3979,4064,2032,0.3398845864347244,0.5106810756471475,0.3327757798778958
40,10,5,41,10,20,11,18,9,0.43902439024390244,0.8181818181818182,0.2682926829268293
41,20,5,101,20,50,31,40,20,0.39603960396039606,0.6451612903225806,0.3069306930693069
42,50,5,275,50,137,88,120,60,0.43636363636363634,0.6818181818181818,0.32
