,complex,filename,run,points,dim,size,size_prereduced,delta,algorithm,result,time_s
0,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,5fc840d885d6401e8cc730a27cca3a7a,200,2,1177,755,0.0,binning,422,1.567421530000047
1,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,7144572a228d4ffd9a57f8fb33a48ad7,200,2,1177,755,0.002,binning,532,1.7288975910000772
2,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,d87e4e82faf743d3b773e0af8c1d1d83,200,2,1177,755,0.005,binning,582,1.745550799999819
3,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,f84b5b4cf17141f7b159f8531fe40312,200,2,1177,755,0.01,binning,644,1.879408637999859
4,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,ceee4d362a804b23944f4604f8a0a453,200,2,1177,755,0.02,binning,728,2.0308541850001802
5,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,282dbe4ca3ce44e58db84eda657d63fa,200,2,1177,755,0.03,binning,790,2.0516076900000826
6,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,5a1f2b3480474689ada7e3d1ae909568,200,2,1177,755,0.04,binning,874,2.0865858770000614
7,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,2764950df65c49408f6be5840e5531cc,200,2,1177,755,0.05,binning,964,2.318579677000116
8,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,3bf4313f923d437a8b6b59ca4ba32769,200,2,1177,755,0.1,binning,1106,2.608727912999939
9,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,59a3d02494954bb2a9a86474d4f236d6,200,2,1177,755,0.2,binning,1172,2.812763693000079
10,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,c5e7e6ff8f4d477187c858c6dc16e2a9,200,2,1177,755,0.5,binning,1176,2.853902134000009
11,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,f34aafd5bf3e40f9b06e9bec229f7ac3,200,2,1177,755,1.0,binning,1176,2.8870826709999164
12,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,a6e77145683b4347a49fb9d8a6f75bb0,200,2,1177,755,0.0,gradient,422,0.4770748639998601
13,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,2c48d8f3b006466b9eb2543e2c21437a,200,2,1177,755,0.002,gradient,434,0.6032823199998347
14,<class 'dmt.cechmate_wrap.AlphaComplex'>,normal_dist_2D_200pts_5.csv,27169f41665d4d13a88b87f196384976,200,2,1177,755,0.005,gradient,478,0.7707020580000972
